City,Population,Classification,Political Stance
High Prairie,2065,small,Conservative
Bromont,11357,small,Liberal
Brandon,54268,medium,Conservative
Clermont,3065,small,Bloc
Bentley,1042,small,Conservative
Edson,8374,small,Conservative
Balmertown,4094,small,Conservative
Newmarket,87942,medium,Liberal
Kerrobert,970,rural,Conservative
Lane,5884,small,Conservative
Havelock,1055,small,Conservative
Prentiss,10283,small,Conservative
Wynyard,1667,small,Conservative
Muskoka,66674,medium,Conservative
Coldstream,11171,small,Conservative
Pointe-Claire,33488,medium,Liberal
Brooks,14924,small,Conservative
Yorkton,19859,small,Conservative
Ashcroft,1182,small,Conservative
Saint-Bruno-de-Montarville,26273,small,Bloc
Geraldton,1761,small,Liberal
Didsbury,5070,small,Conservative
North Bay,71736,medium,Liberal
Saint-Jean-sur-Richelieu,97873,medium,Bloc
Saint-Eustache,45276,medium,Bloc
Midland,27894,small,Conservative
Gibbons,3218,small,Conservative
Matachewan,268,rural,NDP
Carmacks,588,rural,Liberal
Elkford,2749,small,Conservative
Grindrod,1526,small,Conservative
Headquarters,9158,small,NDP
Kahnawake,10272,small,Bloc
Beloeil,24104,small,Bloc
Rexdale,94469,medium,Liberal
Collingwood,24811,small,Conservative
La Pocatière,4078,small,Conservative
Salmon Arm,19432,small,Conservative
Port Hardy,3902,small,NDP
St. Andrews,146,rural,Conservative
New Liskeard,4232,small,Liberal
St. Stephen,4510,small,Conservative
Duncan,5047,small,NDP
Shawinigan,49620,medium,Liberal
Fort Saskatchewan,27088,small,Conservative
Estevan,10851,small,Conservative
Carp,1477,small,Liberal
Grimsby,28883,small,Conservative
Quebec Harbour,6221,small,NDP
Selkirk,10504,small,Conservative
Lewisporte,3288,small,Conservative
Fergus,23209,small,Conservative
Saint-Germain-de-Grantham,4922,small,Bloc
Oldcastle,23300,small,Liberal
Tara,1119,small,Conservative
Kingsey Falls,1986,small,Conservative
Niverville,5947,small,Conservative
Pitt Meadows,19146,small,Conservative
Mount Hope,2413,small,Conservative
Hythe,854,rural,Conservative
Crossfield,3599,small,Conservative
Millhaven,17943,small,Conservative
Rimbey,2470,small,Conservative
Renfrew,8190,small,Conservative
Mont-Tremblant,10992,small,Bloc
Rosedale,1524,small,Conservative
Kitikmeot,6458,small,NDP
Varennes,21198,small,Bloc
East York,109359,large,Liberal
Trois-Rivières,139163,large,Bloc
Kimberley,4908,small,Conservative
Saint-Placide,1715,small,Bloc
Cocagne,2757,small,Liberal
Trenton,2407,small,Conservative
Oro,23017,small,Conservative
Saanich,117735,large,NDP
Emerald Park,1696,small,Conservative
Castlegar,8338,small,NDP
Chetwynd,2302,small,Conservative
Thornbury,3474,small,Conservative
Dunnville,5907,small,Conservative
Courtice,101427,large,Conservative
Bethune,560,rural,Conservative
L'orignal,1359,small,Liberal
Bowmanville,56742,medium,Conservative
Bradford,38128,medium,Conservative
Meadow Lake,5141,small,Conservative
Atlantic,4336,small,Conservative
Hydro,14576,small,Conservative
Mackenzie,3281,small,Conservative
Carberry,1818,small,Conservative
Meota,325,rural,Conservative
Campbellford,3372,small,Conservative
Baie-d'urfe,3764,small,Liberal
Lax Kw'alaams,627,rural,NDP
Boisbriand,28308,small,Bloc
Sussex,4440,small,Conservative
Kincardine,12268,small,Conservative
Gananoque,5383,small,Conservative
Debert,19806,small,Conservative
Blacks Harbour,907,rural,Conservative
Chemainus,4033,small,NDP
Langdon,5193,small,Conservative
Lepreau,803,rural,Conservative
Blainville,59819,medium,Bloc
Hay River,3169,small,Liberal
Tignish,744,rural,Liberal
New Lowell,14814,small,Conservative
Indian Head,1902,small,Conservative
Huntsville,21147,small,Conservative
Port Colborne,20033,small,Liberal
Saint-Hubert,115082,large,Bloc
Bon-conseil,1149,small,Bloc
Scotford,99225,medium,Conservative
Campbellton,7047,small,Liberal
Virden,3118,small,Conservative
Mount Forest,5040,small,Conservative
Saint-Augustin-de-Desmaures,19907,small,Conservative
Smithville,6456,small,Conservative
Maple,186948,large,Conservative
Torbay,7852,small,Liberal
Hawkesbury,10194,small,Liberal
Perth,6469,small,Conservative
Odessa,220,rural,Conservative
Stonewall,5046,small,Conservative
Delhi,5344,small,Conservative
Thompson,13035,small,NDP
Utopia,22970,small,Conservative
Lindsay,22367,small,Conservative
Short Beach,10067,small,Conservative
Prince Rupert,13442,small,NDP
Lake Country,15817,small,Conservative
Sept-Îles,27729,small,Bloc
Mission,41519,medium,Conservative
Exshaw,449,rural,Conservative
Qualicum Beach,9303,small,NDP
Salford,7583,small,Conservative
Grande Pointe,7469,small,Conservative
Summerside,18157,small,Liberal
Aylmer,7699,small,Conservative
Tillsonburg,18615,small,Conservative
Port Mellon,2407,small,Liberal
Truro,46157,medium,Conservative
Capitale-Nationale,757950,large,Liberal
Bath,17943,small,Conservative
Lynn Lake,579,rural,NDP
Coalhurst,2869,small,Conservative
Dubreuilville,576,rural,NDP
Prescott,4078,small,Conservative
Rocky View County,41028,medium,Conservative
Moose Jaw,33665,medium,Conservative
Rocanville,889,rural,Conservative
Fraser,965,rural,Conservative
Oromocto,9045,small,Liberal
Hanwell,4743,small,Conservative
Kawartha Lakes,79247,medium,Conservative
Bécancour,13561,small,Bloc
Sainte-Thérèse,26533,small,Bloc
Likely,4792,small,Conservative
Espanola,5185,small,NDP
Harrison Hot Springs,1552,small,Conservative
Piedmont,3476,small,Bloc
Oliver,5094,small,NDP
Liverpool,2546,small,Conservative
Acton Vale,7605,small,Bloc
Val-Joli,1671,small,Conservative
Fermont,2256,small,Bloc
Port Dover,7871,small,Conservative
Kensington,1812,small,Liberal
Pincher Creek,3622,small,Conservative
Mont-Wright,2256,small,Bloc
Mount Pearl,22477,small,Liberal
La Pocatiere,4078,small,Conservative
ESPANOLA,5185,small,NDP
White River,557,rural,NDP
Dollard,20,rural,Liberal
Okotoks,30405,medium,Conservative
St. Peters,231,rural,Liberal
Powell River,17825,small,NDP
Osoyoos,5556,small,NDP
Kapuskasing,8057,small,NDP
Ponoka,7331,small,Conservative
Wabasca,1591,small,Conservative
Alhambra,11865,small,Conservative
Rocky Mountain House,6765,small,Conservative
Gjoa Haven,1349,small,NDP
La Ronge,2521,small,Conservative
Lamont,1744,small,Conservative
Iqaluit,7429,small,NDP
Trochu,998,rural,Conservative
Clyde River,1181,small,NDP
Bridgewater,8790,small,Conservative
Musquodoboit Harbour,2319,small,Liberal
Pond Inlet,1555,small,NDP
Kyuquot,864,rural,NDP
Onion Lake,4064,small,Conservative
Fairview,2817,small,Conservative
Invermere,3917,small,Conservative
Ungava Bay,10000,small,Bloc
Chéticamp,5207,small,Liberal
La Loche,2514,small,Conservative
Wetaskiwin,12594,small,Conservative
Arthur,12431,small,Conservative
Viking,986,rural,Conservative
Ladysmith,8990,small,NDP
Charlesbourg,109690,large,Conservative
Fort McPherson,647,rural,Liberal
King City,27333,small,Conservative
Sechelt,10847,small,Liberal
Montague,74,rural,Liberal
Lillooet,2302,small,Conservative
Corner Brook,19333,small,Liberal
Belfast,1687,small,Liberal
Neils Harbour,2673,small,Liberal
Creston,5583,small,Conservative
Fort Chipewyan,798,rural,Conservative
Peace River,6619,small,Conservative
Barrhead,4320,small,Conservative
Killam,918,rural,Conservative
Elk Point,1399,small,Conservative
Essex,21216,small,Conservative
Atikameg,734,rural,Conservative
Nelson,11106,small,Conservative
De Winton,23199,small,Conservative
Grand Forks,4112,small,NDP
Forks,4112,small,NDP
Arichat,3136,small,Liberal
Chester,10693,small,Conservative
